Country,Date_first_restriction,Date_lockdown,Knot_date_1,Knot_date_2,N_knots,N_knots_in_range,Growth_factor_1,Growth_factor_2,Growth_factor_3,Growth_factor_1_sd,Growth_factor_2_sd,Growth_factor_3_sd,Intercept_1,Intercept_2,Intercept_3,Pois_dev_inc,Pois_dev_cum,Prob_equal,Prob_unequal,Min_n_unequal
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-03-24,2,2,1.3593385316714874,1.030909119840366,0.9423457410168136,0.035547343146157935,0.04912730217604778,0.004822247083374291,0,158.95983532626292,236.45279179687122,137.17496095734649,2025.47178860338,0.1,0.00880597736847263,1
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-03-31,2,2,1.3602073179777703,0.9804686039512119,0.9272062767152435,0.018674689829504987,0.007445344588668093,0.005107877487312692,0,183.7935375888543,289.67904413395956,127.28804867354418,2826.5980040363906,0.1,0.006310150472564867,1
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-04-01,2,2,1.3619241609917119,0.9774080427893309,0.9231691559668611,0.017878436479409003,0.006533880252735384,0.005549700370065235,0,186.1058012099524,304.23809670929154,144.86108505391516,2838.5045501669038,0.1,0.0062836815709428305,1
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-04-07,2,2,1.3798046247604872,0.962308246989141,0.913347730199125,0.020417176285990702,0.005644801281793527,0.010051570763063572,0,202.0682468413316,341.26299607534713,145.5772165075847,498.4739882406497,0.1,0.0357817241254127,6
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-04-08,2,2,1.3852674681916743,0.9590660747742862,0.9130521802878147,0.021387387890871294,0.005623437285739857,0.011789403584021882,0,206.2814744140159,342.94274103883606,143.3613897002633,214.76768164088216,0.1,0.08304908166185612,13
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-04-09,2,2,1.387921791764829,0.9575488749197156,0.9129845736196608,0.021864433971573297,0.005593832086969622,0.012837434658235475,0,208.30049175303486,343.5085818974013,142.3615004975463,106.32965165632534,0.1,0.16774491830906038,27
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-04-10,2,2,1.390736251426562,0.9558609791076973,0.912822698313569,0.022501195562884175,0.0055613909595761445,0.014432565459471037,0,210.47963180233052,344.54387647603994,143.79565769027798,63.767335385724074,0.1,0.2797083902444862,45
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-04-11,2,2,1.395453519143905,0.9531716798996339,0.9152842005777384,0.02331782158874577,0.005451149273673685,0.016922853595525384,0,214.0644101942273,336.17575604869637,137.46574628173818,91.30943187514605,0.1,0.1953386234546935,31
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-04-12,2,2,1.3971227295843782,0.9521850932922041,0.9163877110474284,0.02363499089204199,0.005384150859963068,0.01815338666350775,0,215.3498159654122,332.40725590582895,136.926626897672,146.3229071343247,0.1,0.12189655796373307,20
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-04-13,2,2,1.3973977218565523,0.9520147451209677,0.9164334220040117,0.023690108515771784,0.005367812064934997,0.018461507740480616,0,215.56536074002292,332.3076818867555,139.6026146820862,187.5903541194139,0.1,0.0950808948287776,15
Moldova,2020-03-10,2020-03-11,2020-03-15,2020-04-05,2,2,1.6801731831540498,1.1419929831280597,1.0046438262859492,0.8246768950328449,0.021070566654444404,0.003690411720098314,0,6.458162400311881,109.7447283455789,113.40617970873286,349.98419098437444,0.1,0.14017944373861108,22
Moldova,2020-03-10,2020-03-11,2020-03-15,2020-04-06,2,2,1.9446210625401683,1.1219907530083122,1.0042118222147731,0.8313129564898533,0.018715528303615368,0.00394841230979328,0,9.871563714382273,111.63255991999988,286.20928449558824,3689.0854675790056,0.1,0.013298848628111041,2
